observation_date,PCU9241269241262
01/12/2022,219.946
01/01/2023,219.765
01/02/2023,219.996
01/03/2023,221.559
01/04/2023,222.178
01/05/2023,224.947
01/06/2023,227.236
01/07/2023,227.775
01/08/2023,228.179
01/09/2023,233.769
01/10/2023,233.88
01/11/2023,237.33
01/12/2023,237.739
01/01/2024,237.766
01/02/2024,239.813
01/03/2024,241.893
01/04/2024,246.508
01/05/2024,247.564
01/06/2024,247.811
01/07/2024,248.463
01/08/2024,248.489
01/09/2024,259.01
01/10/2024,259.094
01/11/2024,259.241
01/12/2024,259.357
