date,costs,pri,cpi,ppi
01/09/2018,27500,0.008421491,151.825,208
01/10/2018,,0.0027968,151.51,208.2
01/11/2018,,-0.000796624,151.699,207.3
01/12/2018,,-0.001220666,151.508,207.5
01/01/2019,,-0.004241795,151.641,207.7
01/02/2019,,0.000343704,151.737,208.1
01/03/2019,,-0.00612096,151.471,208.3
01/04/2019,,-0.00084152,151.423,209.2
01/05/2019,,-0.00593859,151.569,210.5
01/06/2019,,0.000680353,152.159,210.6
01/07/2019,,0.00224004,152.186,211
01/08/2019,,-0.00035347,151.777,211.4
01/09/2019,,0.004235355,151.787,211.2
01/10/2019,,0.01022141,151.906,211.4
01/11/2019,,0.000339733,151.842,211.4
01/12/2019,,0.003155096,151.654,211.9
01/01/2020,,-0.00485272,151.251,211.8
01/02/2020,,-0.00203531,151.731,212
01/03/2020,,-0.014353727,150.753,212.5
01/04/2020,,-0.010484189,151.161,212.6
01/05/2020,,-0.01144645,150.428,213.2
01/06/2020,,-0.009831958,150.444,213.2
01/07/2020,,-0.010675304,150.869,213.4
01/08/2020,,-0.004851263,150.818,213.4
01/09/2020,,0.006326428,150.839,214.3
01/10/2020,,-0.003416689,151.186,214.3
01/11/2020,,-0.003602805,151.634,214.3
01/12/2020,,-0.008338055,151.786,215.2
01/01/2021,,-0.002892835,152.493,215.2
01/02/2021,,0.002026822,150.665,215.1
01/03/2021,,-0.001539462,150.46,215.2
01/04/2021,,-0.001185111,150.559,215.7
01/05/2021,,-0.002053722,150.423,216.3
01/06/2021,,0.001088174,150.608,216
01/07/2021,,0.003244881,150.71,215.767
01/08/2021,,-0.004722299,150.428,216.032
01/09/2021,,-0.000254934,150.92,216.87
01/10/2021,,0.0107205,150.535,217.036
01/11/2021,,-0.003823242,150.113,216.897
01/12/2021,,-0.002952303,150.408,216.824
01/01/2022,,0.00647181,149.942,216.541
01/02/2022,,0.001591241,150.018,216.651
01/03/2022,,0.016325968,149.886,217.577
01/04/2022,,-0.005809537,149.895,217.598
01/05/2022,,-0.016813072,149.795,218.423
01/06/2022,,0.004221953,151.123,218.656
01/07/2022,,-0.009399666,151.288,218.786
01/08/2022,,-0.004440442,151.116,219.028
01/09/2022,,-0.00693548,150.48,220.134
01/10/2022,,-0.001496779,150.871,218.171
01/11/2022,,-0.006711891,150.98,218.751
01/12/2022,,-0.000555724,151.079,219.946
01/01/2023,,-0.002551287,151.289,219.765
01/02/2023,,-0.005165525,151.176,219.996
01/03/2023,,0.004431819,151.229,221.559
01/04/2023,,-0.001211281,151.966,222.178
01/05/2023,,0.004870134,152.185,224.947
01/06/2023,,0.008078409,152.682,227.236
01/07/2023,,0.005827177,152.87,227.775
01/08/2023,,-0.003277575,153.309,228.179
